ID,Codigo Equipo,Correlativo Equipo ,Fecha de Mantenimiento,Descripcion de actividad,Preventivo,Taller Externo,Costo ,OT,Modified,CodigoYCorr,Fecha Programado,Ejecutado,Actividades programadas,Created,Compliance Asset Id,Item Type,Path
31,SB.46kV.TC,3.0,2023-12-20 00:00:00,"TCs bien sin embargo los 3 presentan arcoelectrico, se deben cambiar en menos de 24 meses. ",Si,Si,600.0,,2024-09-06 14:40:17,SB.46kV.TC.3,,,,2024-09-06 14:36:43,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
32,SB.46kV.TC,4.0,2023-12-20 00:00:00,"TCs de Opico, saturacion, exactitud bien, aptos para medicion Oficial, se enviara reporte a la UT ",Si,Si,600.0,,2024-09-06 14:39:11,SB.46kV.TC.4,,,,2024-09-06 14:39:09,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
33,SB.46kV.TC,5.0,2023-12-20 00:00:00,"TCs de Opico, saturacion, exactitud bien, aptos para medicion Oficial, se enviara reporte a la UT ",Si,Si,600.0,,2024-09-06 14:41:31,SB.46kV.TC.5,,,,2024-09-06 14:40:33,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
34,SB.46kV.TC,6.0,2023-12-20 00:00:00,"TCs de Opico, saturacion, exactitud bien, aptos para medicion Oficial, se enviara reporte a la UT ",Si,Si,600.0,,2024-09-06 14:41:32,SB.46kV.TC.6,,,,2024-09-06 14:40:41,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
36,PTAR1.AA.AE,9.0,2024-09-06 00:00:00,"Se realizo mtto correctivo debido a falla de piñones en caja reducturoa. ademas de mtto preventivo de motor, que incluye  cambio de rodamientos.",No,Si,9215.0,,2024-09-06 15:34:02,PTAR1.AA.AE.9,,,,2024-09-06 15:34:02,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
37,PTAR1.AA.AE,10.0,2024-09-09 00:00:00,"Mtto preventivo  que abarca:

Mantenimiento preventivo de Caja Reductora.
-Desmontaje de caja reductora del equipo aireador.
-Desarmado de caja y revisión.
-Lavado de piñones.
- cambio de rodamientos
-Cambio de retenedores de eje grande principal (4)
-Cambio de retenedores de eje principal de polea (2)
-Cambio de hule negro cobertor de retenedores.
-Verificación de ejes 
-Revisión de manguera de nivel de aceite y su cambio.
-Sellado de caja reductora con silicón.
-Cambio de pernos de armado de caja reductora (14) (si es necesario)
-Aceite suministrado por HBI
-Pintura general 

Mantenimiento de motor 20 HP para equipo 
-Desarmado de motor eléctrico en planta
-Lavado con solvente dieléctrico a embobinado.
-Cambio de rodamiento  
-Sellado y armado de motor
-Medición de parámetros eléctricos.
-Pintura general 
-Desmontaje y montaje.
-Desconexión eléctrica para desmontaje
-Conexión eléctrica para montaje


Juego de chumaceras:
1-Chumacera grande bipartida en polímero Nylatron 
LIG, NSM, MC901
-Diámetro interno 4.1/2”
-2 ranuras limpiadoras de mota
-2 agujeros de sujeción 
-1 agujero con tapón para limpieza y lubricación
-Desmontaje y montaje
1-Chumacera pequeña en polímero Nylatron LIG, 
NSM, MC901
-Diámetro interno 3.1/2”
-2 ranuras limpiadoras de mota
-2 agujeros de sujeción 
-1 agujero con tapón para limpieza y lubricación
-Desmontaje y montaje
",No,SIMD,6995.0,,2025-06-04 08:08:13,PTAR1.AA.AE.10,,,,2024-09-09 06:55:40,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
38,PTAR1.AA.AE,11.0,2023-11-03 00:00:00,"El mtto preventico incluye:
Mantenimiento preventivo de Caja Reductora.
-Desmontaje de caja reductora del equipo aireador.
-Desarmado de caja y revisión.
-Lavado de piñones.
- cambio de rodamientos
-Cambio de retenedores de eje grande principal (4)
-Cambio de retenedores de eje principal de polea (2)
-Cambio de hule negro cobertor de retenedores.
-Verificación de ejes 
-Revisión de manguera de nivel de aceite y su cambio.
-Sellado de caja reductora con silicón.
-Cambio de pernos de armado de caja reductora (14) (si es necesario)
-Aceite suministrado por HBI
-Pintura general 

Mantenimiento de motor 20 HP para equipo 
-Desarmado de motor eléctrico en planta
-Lavado con solvente dieléctrico a embobinado.
-Cambio de rodamiento  
-Sellado y armado de motor
-Medición de parámetros eléctricos.
-Pintura general 
-Desmontaje y montaje.
-Desconexión eléctrica para desmontaje
-Conexión eléctrica para montaje


Juego de chumaceras:
1-Chumacera grande bipartida en polímero Nylatron 
LIG, NSM, MC901
-Diámetro interno 4.1/2”
-2 ranuras limpiadoras de mota
-2 agujeros de sujeción 
-1 agujero con tapón para limpieza y lubricación
-Desmontaje y montaje
1-Chumacera pequeña en polímero Nylatron LIG, 
NSM, MC901
-Diámetro interno 3.1/2”
-2 ranuras limpiadoras de mota
-2 agujeros de sujeción 
-1 agujero con tapón para limpieza y lubricación
-Desmontaje y montaje
",Si,SIMD,6995.0,,2025-02-26 11:56:00,PTAR1.AA.AE.11,,,,2024-09-09 07:08:50,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
39,PTAR1.AA.AE,12.0,2022-04-01 00:00:00,"Ademas del mtto prevetivo se cambio punta grande , esta es la que hace la transmicion entre la caja reductora y las aspas de aereador. el costo solo de la punta esta al rededor de $3550 dolares",No,Si,,,2024-09-09 08:00:49,PTAR1.AA.AE.12,,,,2024-09-09 07:55:09,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
40,PTAR1.AA.AE,13.0,2022-02-01 00:00:00,"El mtto preventivo abarca:

Mantenimiento preventivo de Caja Reductora.
-Desmontaje de caja reductora del equipo aireador.
-Desarmado de caja y revisión.
-Lavado de piñones.
- cambio de rodamientos
-Cambio de retenedores de eje grande principal (4)
-Cambio de retenedores de eje principal de polea (2)
-Cambio de hule negro cobertor de retenedores.
-Verificación de ejes 
-Revisión de manguera de nivel de aceite y su cambio.
-Sellado de caja reductora con silicón.
-Cambio de pernos de armado de caja reductora (14) (si es necesario)
-Aceite suministrado por HBI
-Pintura general 

Mantenimiento de motor 20 HP para equipo 
-Desarmado de motor eléctrico en planta
-Lavado con solvente dieléctrico a embobinado.
-Cambio de rodamiento  
-Sellado y armado de motor
-Medición de parámetros eléctricos.
-Pintura general 
-Desmontaje y montaje.
-Desconexión eléctrica para desmontaje
-Conexión eléctrica para montaje


Juego de chumaceras:
1-Chumacera grande bipartida en polímero Nylatron 
LIG, NSM, MC901
-Diámetro interno 4.1/2”
-2 ranuras limpiadoras de mota
-2 agujeros de sujeción 
-1 agujero con tapón para limpieza y lubricación
-Desmontaje y montaje
1-Chumacera pequeña en polímero Nylatron LIG, 
NSM, MC901
-Diámetro interno 3.1/2”
-2 ranuras limpiadoras de mota
-2 agujeros de sujeción 
-1 agujero con tapón para limpieza y lubricación
-Desmontaje y montaje
",Si,Si,6995.0,,2024-09-09 07:59:12,PTAR1.AA.AE.13,,,,2024-09-09 07:59:12,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
41,PTAR1.AA.AE,14.0,2024-03-06 00:00:00,"Se realizo mtto preventivo de aerador 14, se fabricaron piñones de caja, flange de punta grande, punta grande. ademas de la sustitucion de rodamientos y mtto preventivo de motor de aerador.  ",No,Si,10705.0,,2024-09-09 08:14:13,PTAR1.AA.AE.14,,,,2024-09-09 08:14:13,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
42,PTAR1.AA.MI,1.0,2024-05-30 00:00:00,"Mixer se re embobino, ademas se le dio el mtto preventivo que incluye el cambio de rodamientos.
Editado 2025",No,Taller Hernandez,2125.0,,2025-02-26 11:56:43,PTAR1.AA.MI.1,,,,2024-09-09 08:38:34,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
43,PTAR1.AA.MI,2.0,2022-12-22 00:00:00,"Mtto preventivo, incluye de cambio de rodamienos.",Si,Si,1325.0,,2024-09-09 08:40:35,PTAR1.AA.MI.2,,,,2024-09-09 08:40:35,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
44,PTAR1.AA.MI,3.0,2024-05-30 00:00:00,"Se envio  mtto por re embobindado, ademas se dio el preventivo que incluye el cambio de rodamientos y pruebas electricas. ",No,Si,2125.0,,2024-09-09 08:43:47,PTAR1.AA.MI.3,,,,2024-09-09 08:43:46,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
45,PTAR1.AA.MI,4.0,2022-12-22 00:00:00,"Mtto preventivo, inlcuye cambio de rodamientos.",Si,Si,1325.0,,2024-09-09 08:46:00,PTAR1.AA.MI.4,,,,2024-09-09 08:45:59,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
46,PTAR1.AA.MI,5.0,2024-07-16 00:00:00,"re embobinado, ademas de mtto preventivo. ",No,Si,2125.0,,2024-09-09 10:15:10,PTAR1.AA.MI.5,,,,2024-09-09 10:15:09,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
47,PTAR1.AA.MI,6.0,2024-07-16 00:00:00,"re embobinado, ademas de cambios de rodamientos. ",No,Si,2125.0,,2024-09-09 10:15:52,PTAR1.AA.MI.6,,,,2024-09-09 10:15:51,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
48,PTAR1.AA.MI,7.0,2022-12-22 00:00:00,mtto preventivo que incluye cambio de reodamientos e inspecciones electricas.,Si,Si,1325.0,,2024-09-09 12:06:46,PTAR1.AA.MI.7,,,,2024-09-09 12:06:46,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
49,PTAR1.AA.MI,8.0,2022-02-08 00:00:00,mtto preventivo incluye cambio de rodamientos.,Si,No,1325.0,,2024-09-09 12:08:15,PTAR1.AA.MI.8,,,,2024-09-09 12:08:14,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
50,PTAR1.AA.MI,9.0,2022-12-22 00:00:00,mtto preventivo. re embobinado.,No,Si,2125.0,,2024-09-09 12:09:35,PTAR1.AA.MI.9,,,,2024-09-09 12:09:34,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
51,PTAR1.AA.MI,10.0,2022-09-23 00:00:00,mtto preventivo que incluye cambio de rodamientos.,Si,Si,1325.0,,2024-09-09 12:10:47,PTAR1.AA.MI.10,,,,2024-09-09 12:10:47,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
52,PTAR1.AA.MI,11.0,2024-05-30 00:00:00,"mtto preventivo, inlcuye cambio de rodamientos",Si,Si,1325.0,,2024-09-09 12:12:39,PTAR1.AA.MI.11,,,,2024-09-09 12:12:39,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
53,PTAR1.AA.MI,12.0,2022-09-23 00:00:00,mtto preventido y re embobinado,No,Si,2125.0,,2024-09-09 12:13:30,PTAR1.AA.MI.12,,,,2024-09-09 12:13:29,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
54,PTAR2.AA.AE,1.0,2022-02-01 00:00:00,"mtto preventivo inlcuye cabio de rodamientos, inpesccion de parametros electricos. limpieza y pintura.",,,1406.5,,2025-05-02 08:48:45,PTAR2.AA.AE.1,,,,2024-09-09 12:51:19,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
55,PTAR2.AA.AE,2.0,2022-11-15 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.0,,2024-09-09 12:53:22,PTAR2.AA.AE.2,,,,2024-09-09 12:53:21,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
56,PTAR2.AA.AE,3.0,2022-11-15 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.5,,2024-09-09 12:54:14,PTAR2.AA.AE.3,,,,2024-09-09 12:54:13,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
57,PTAR2.AA.AE,4.0,2023-01-26 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.5,,2024-09-09 12:55:10,PTAR2.AA.AE.4,,,,2024-09-09 12:55:09,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
58,PTAR2.AA.AE,5.0,2022-07-07 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,No,1406.5,,2024-09-09 12:56:14,PTAR2.AA.AE.5,,,,2024-09-09 12:56:13,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
59,PTAR2.AA.AE,6.0,2022-07-07 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.5,,2024-09-09 12:56:50,PTAR2.AA.AE.6,,,,2024-09-09 12:56:50,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
60,PTAR2.AA.AE,7.0,2023-12-12 00:00:00," mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.0,,2024-09-09 15:07:31,PTAR2.AA.AE.7,,,,2024-09-09 15:07:30,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
61,PTAR2.AA.AE,8.0,2023-05-09 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.0,,2024-09-09 15:11:47,PTAR2.AA.AE.8,,,,2024-09-09 15:11:47,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
62,PTAR2.AA.AE,9.0,2023-08-23 00:00:00,"mtto correctivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. y re embobinado",No,Si,2460.0,,2024-09-09 15:14:15,PTAR2.AA.AE.9,,,,2024-09-09 15:14:15,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
63,PTAR2.AA.AE,10.0,2024-06-28 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.0,,2024-09-09 15:19:53,PTAR2.AA.AE.10,,,,2024-09-09 15:19:52,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
64,PTAR2.AA.AE,11.0,2022-02-01 00:00:00,"mtto correctivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,No,2460.0,,2024-09-09 15:24:33,PTAR2.AA.AE.11,,,,2024-09-09 15:24:32,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
65,PTAR2.AA.AE,12.0,2023-05-23 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.0,,2024-09-09 15:26:18,PTAR2.AA.AE.12,,,,2024-09-09 15:26:18,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
66,PTAR2.AA.AE,13.0,2024-07-26 00:00:00,"mtto correctovp que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. y re embobinado",No,Si,2460.0,,2024-09-09 15:27:38,PTAR2.AA.AE.13,,,,2024-09-09 15:27:38,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
67,PTAR2.AA.AE,14.0,2024-09-09 00:00:00,"mtto preventivo que incluye cambio de rodamientos, pintura, y medicion de parametros electricos. ",Si,Si,1406.0,,2024-09-09 15:27:59,PTAR2.AA.AE.14,,,,2024-09-09 15:27:58,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
68,PDO.AEC.CTR,1.0,2024-08-25 00:00:00,Mtto preventivo programado tipo B.  datos segun contrato.,Si,Si,,,2024-09-10 14:47:53,PDO.AEC.CTR.1,,,,2024-09-10 14:47:52,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
69,PDO.AEC.CTR,2.0,2024-09-10 00:00:00,Mtto preventivo programado  tipo B. Datos segun contrato. ,Si,Si,,,2024-09-10 14:53:13,PDO.AEC.CTR.2,,,,2024-09-10 14:53:11,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
70,PTAR1.RL.RASP,1.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,2.0,,2025-02-27 12:26:56,PTAR1.RL.RASP.1,,,,2024-09-11 06:55:09,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
71,PTAR1.RL.RASP,2.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:55:36,PTAR1.RL.RASP.2,,,,2024-09-11 06:55:36,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
72,PTAR1.RL.RASP,3.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:55:55,PTAR1.RL.RASP.3,,,,2024-09-11 06:55:55,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
73,PTAR1.RL.RASP,4.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:56:05,PTAR1.RL.RASP.4,,,,2024-09-11 06:56:05,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
74,PTAR1.RL.RASP,5.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:56:15,PTAR1.RL.RASP.5,,,,2024-09-11 06:56:15,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
75,PTAR1.RL.RASP,6.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:56:25,PTAR1.RL.RASP.6,,,,2024-09-11 06:56:25,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
76,PTAR1.RL.RASP,7.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:56:34,PTAR1.RL.RASP.7,,,,2024-09-11 06:56:34,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
77,PTAR1.RL.RASP,8.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:56:43,PTAR1.RL.RASP.8,,,,2024-09-11 06:56:43,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
78,PTAR1.RL.RASP,9.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:56:53,PTAR1.RL.RASP.9,,,,2024-09-11 06:56:53,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
79,PTAR1.RL.RASP,10.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:57:02,PTAR1.RL.RASP.10,,,,2024-09-11 06:57:02,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
80,PTAR1.RL.RASP,11.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:57:13,PTAR1.RL.RASP.11,,,,2024-09-11 06:57:13,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
81,PTAR1.RL.RASP,12.0,2024-09-11 00:00:00,"No se tiene registro de ultimo mantenimiento preventivo o correctivo de la bomba sumergible. agregar que el costo por mtto y reembobinado si es necesario. es de de aproximadamente $2940 esto incluye:

Rebobinado de motor
-Cambio de baleros
-Cambio de sellos
-Cambio de orings
-Pintura dieléctrica
-Aceite para bobina
-Aceite para sello mecánico",Si,Si,,,2024-09-11 06:57:21,PTAR1.RL.RASP.12,,,,2024-09-11 06:57:21,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
83,PSVZ.MZS.BCS,1.0,2023-11-24 00:00:00,mtto preventivo incluye cambio de sello y rodamientos.,Si,Si,1115.0,,2024-09-11 09:27:05,PSVZ.MZS.BCS.1,,,,2024-09-11 09:27:05,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
84,PSVZ.MZS.BCS,2.0,2024-06-20 00:00:00,"Mtto preventivo, incluye  cambio de sellos y rodamientos . ",Si,Si,1115.0,,2024-09-11 09:28:04,PSVZ.MZS.BCS.2,,,,2024-09-11 09:28:04,,Elemento,sites/FacilitiesLists/Lists/List Historicos de mantenimiento
